Altium Designer Pick and Place Locations
C:\Users\70654\Desktop\遥控器项目\Remote\Project Outputs for Remote\Pick Place for Remote.csv

========================================================================================================================
File Design Information:

Date:       19/11/19
Time:       19:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"","Comment","TopLayer","WTR_LOGO","-1871.000","-9007.000","0",""
"U5","SN74HC148","TopLayer","SOIC-16-150MIL","2436.000","3355.000","360","8-3encoder"
"joystick1","joystick","TopLayer","JOYSTICK","719.626","1534.350","0",""
"LM1","LM324","TopLayer","LM324","4473.283","3263.000","180",""
"MPU1","STM32F103C8T6","TopLayer","STM32F103C8T6","3824.000","3467.000","135","mcu"
"U1","MP1584EN","TopLayer","SOIC-8-EP-150mil","7342.506","3433.500","90","电源IC"
"Axis7","keyboard_axis","TopLayer","KEY_AXIS","4195.409","2115.685","0",""
"P3","Header 2H","TopLayer","HDR1X2H","2994.000","3906.000","180","Header, 2-Pin, Right Angle"
"OLED1","24PIN插接OLED","TopLayer","FPC0.5_2H-S-W-24P","4867.000","3754.847","180","24PIN插接OLED"
"x1","XTAL","TopLayer","XTAL-5032-2P","4084.000","3206.000","45",""
"U10","AMS1117-3.3","TopLayer","ASM1117","7201.000","2677.000","360",""
"u9","TPS61040DBV","TopLayer","SOT-23-5","6618.000","3455.000","270","DC-DC(BUCK)"
"U8","tl431","TopLayer","SOT-23-3","4194.000","3648.000","360","精密电压基准ic"
"U7","AMS1117-3.3","TopLayer","ASM1117","6617.000","3129.500","90",""
"U6","SN74HC148","TopLayer","SOIC-16-150MIL","2044.283","3355.000","360","8-3encoder"
"U4","74HC08","TopLayer","SOIC-14-150MIL","2893.000","3289.716","270",""
"u3","sp3485","TopLayer","SP3485","3370.512","3827.000","180",""
"U2","AT24C256C","TopLayer","SOIC-8","3296.000","3260.000","360","256KBIT_EEPROM"
"T1","S8050","TopLayer","SOT-23-3","3249.598","3577.244","90","NPN"
"s2","key","TopLayer","KEY","5548.000","3417.000","270",""
"S1","switch_2p","TopLayer","SWITCH_2P","5139.000","3355.000","270",""
"RGB16","ws2812","TopLayer","WS2812-5050-4P","6081.402","2652.999","270","RGB集成光源"
"RGB15","ws2812","TopLayer","WS2812-5050-4P","6090.401","2346.332","270","RGB集成光源"
"RGB14","ws2812","TopLayer","WS2812-5050-4P","6090.402","2039.666","270","RGB集成光源"
"RGB13","ws2812","TopLayer","WS2812-5050-4P","6090.402","1732.999","270","RGB集成光源"
"RGB12","ws2812","TopLayer","WS2812-5050-4P","6090.401","1426.333","270","RGB集成光源"
"RGB11","ws2812","TopLayer","WS2812-5050-4P","6092.402","1119.666","270","RGB集成光源"
"RGB10","ws2812","TopLayer","WS2812-5050-4P","6093.402","812.999","270","RGB集成光源"
"RGB9","ws2812","TopLayer","WS2812-5050-4P","6094.402","506.333","270","RGB集成光源"
"RGB8","ws2812","TopLayer","WS2812-5050-4P","1607.000","2653.666","270","RGB集成光源"
"RGB7","ws2812","TopLayer","WS2812-5050-4P","1607.000","2347.000","270","RGB集成光源"
"RGB6","ws2812","TopLayer","WS2812-5050-4P","1607.000","2040.333","270","RGB集成光源"
"RGB5","ws2812","TopLayer","WS2812-5050-4P","1607.000","1733.666","270","RGB集成光源"
"RGB4","ws2812","TopLayer","WS2812-5050-4P","1607.000","1427.000","270","RGB集成光源"
"RGB3","ws2812","TopLayer","WS2812-5050-4P","1607.000","1120.333","270","RGB集成光源"
"RGB2","ws2812","TopLayer","WS2812-5050-4P","1607.000","813.667","270","RGB集成光源"
"RGB1","ws2812","TopLayer","WS2812-5050-4P","1607.000","507.000","270","RGB集成光源"
"R58","560R","TopLayer","R_0603","3715.500","3151.000","360",""
"R57","100K 0.1%","TopLayer","R_0603","4821.000","3220.000","360",""
"R56","100K 0.1%","TopLayer","R_0603","4281.615","3308.500","270",""
"R55","100K 0.1%","TopLayer","R_0603","4283.000","3170.760","90",""
"R54","100K 0.1%","TopLayer","R_0603","4687.500","3377.000","360",""
"R53","4.7K","TopLayer","R_0603","1847.000","3263.000","270",""
"R52","100K 0.1%","TopLayer","R_0603","4687.500","3327.000","180",""
"R51","100K 0.1%","TopLayer","R_0603","4821.000","3273.000","360",""
